fecha;demanda_sistemica_mw;media_movil_30d;Mes;Dia_Semana
2006-01-01;5769,75;;1;6
2006-01-02;6785,299999999999;;1;0
2006-01-03;6866,6;;1;1
2006-01-04;6776,460000000001;;1;2
2006-01-05;6903,36;;1;3
2006-01-06;6764,0199999999995;;1;4
2006-01-07;6471,5599999999995;;1;5
2006-01-08;6409,87;;1;6
2006-01-09;6892,71;;1;0
2006-01-10;6914,25;;1;1
2006-01-11;6836,450000000001;;1;2
2006-01-12;6883,03;;1;3
2006-01-13;6855,84;;1;4
2006-01-14;6507,25;;1;5
2006-01-15;6267,0;;1;6
2006-01-16;6943,17;;1;0
2006-01-17;6956,3;;1;1
2006-01-18;6870,280000000001;;1;2
2006-01-19;6920,25;;1;3
2006-01-20;6963,48;;1;4
2006-01-21;6541,3;;1;5
2006-01-22;6394,0;;1;6
2006-01-23;6928,860000000001;;1;0
2006-01-24;7011,5599999999995;;1;1
2006-01-25;7012,85;;1;2
2006-01-26;7033,37;;1;3
2006-01-27;6970,05;;1;4
2006-01-28;6589,2;;1;5
2006-01-29;6357,43;;1;6
2006-01-30;7047,27;6748,094;1;0
2006-01-31;6952,6;6787,522333333333;1;1
2006-02-01;6849,38;6789,658333333334;2;2
2006-02-02;6859,879999999999;6789,434333333334;2;3
2006-02-03;6813,2300000000005;6790,660000000001;2;4
2006-02-04;6413,209999999999;6774,321666666667;2;5
2006-02-05;6282,76;6758,279666666667;2;6
2006-02-06;6846,17;6770,766666666666;2;0
2006-02-07;6949,02;6788,738333333333;2;1
2006-02-08;6887,33;6788,558999999999;2;2
2006-02-09;6979,219999999999;6790,724666666666;2;3
2006-02-10;6976,39;6795,389333333334;2;4
2006-02-11;6689,6900000000005;6788,944666666667;2;5
2006-02-12;6338,54;6771,7013333333325;2;6
2006-02-13;6984,66;6787,615;2;0
2006-02-14;6826,849999999999;6806,276666666667;2;1
2006-02-15;6779,5;6800,821;2;2
2006-02-16;6917,86;6799,539666666667;2;3
2006-02-17;7025,400000000001;6804,710333333333;2;4
2006-02-18;6710,23;6797,709666666666;2;5
2006-02-19;6474,74;6781,418333333334;2;6
2006-02-20;7203,22;6803,482333333333;2;0
2006-02-21;7235,139999999999;6831,520333333333;2;1
2006-02-22;7172,9400000000005;6839,656333333333;2;2
2006-02-23;7246,589999999999;6847,490666666667;2;3
2006-02-24;7199,12;6853,699666666666;2;4
2006-02-25;6839,15;6847,225666666667;2;5
2006-02-26;6481,18;6830,929999999999;2;6
2006-02-27;7168,01;6850,223666666667;2;0
2006-02-28;7269,53;6880,6269999999995;2;1
2006-03-01;7038,8;6880,344666666667;3;2
2006-03-02;7180,94;6887,956;3;3
2006-03-03;7280,4;6902,323333333334;3;4
2006-03-04;6842,41;6901,741;3;5
2006-03-05;6749,52;6899,617333333333;3;6
2006-03-06;7251,2699999999995;6927,552666666667;3;0
2006-03-07;7285,42;6960,974666666666;3;1
2006-03-08;7268,009999999999;6975,036000000001;3;2
2006-03-09;7237,67;6984,657666666666;3;3
2006-03-10;7140,48;6993,0960000000005;3;4
2006-03-11;6752,37;6985,534333333333;3;5
2006-03-12;6566,71;6971,878333333332;3;6
2006-03-13;7396,75;6995,446999999999;3;0
2006-03-14;7446,78;7032,388333333333;3;1
2006-03-15;7380,77;7045,592000000001;3;2
2006-03-16;7397,8;7064,623666666666;3;3
2006-03-17;7387,4400000000005;7084,888333333333;3;4
2006-03-18;7018,53;7088,244;3;5
2006-03-19;6609,52;7074,381333333334;3;6
2006-03-20;7321,24;7094,748333333334;3;0
2006-03-21;7347,55;7123,842;3;1
2006-03-22;7378,68;7129,690666666666;3;2
2006-03-23;7439,1900000000005;7136,492333333333;3;3
2006-03-24;7409,0599999999995;7144,363;3;4
2006-03-25;6983,18;7135,582666666667;3;5
2006-03-26;6619,63;7116,266333333334;3;6
2006-03-27;7308,63;7131,915666666667;3;0
2006-03-28;7424,47;7163,358666666666;3;1
2006-03-29;7361,77;7169,817333333334;3;2
2006-03-30;7280,79;7170,192666666668;3;3
2006-03-31;7316,82;7179,46;3;4
